Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;76307389-0;CHILENA DE REVISIONES TECNICAS SPA;319591;01/07/2026;01/07/2026 09:16:12;;0;17017;3233;;;20250;;;;;0;;;;0;;;;
2;33;Del Giro;76307389-0;CHILENA DE REVISIONES TECNICAS SPA;319592;01/07/2026;01/07/2026 09:16:52;;0;10168;1932;;;12100;;;;;0;;;;0;;;;
3;33;Del Giro;79588870-5;Esmax Distribucion SpA;2745962;01/07/2026;01/07/2026 10:03:18;;0;892481;169572;;;1300000;;;;;0;;;;0;28;237947;18.3;
4;33;Del Giro;76630639-K;SERVICIOS INTEGRALES F Y R SPA.;4071;02/07/2026;02/07/2026 08:40:21;;0;25210;4790;;;30000;;;;;0;;;;0;;;;
5;33;Del Giro;77400268-5;INVERSIONES Y COMERCIALIZADORA PCY LIMITADA;2666;02/07/2026;02/07/2026 12:30:20;;0;19061;3622;;;22683;;;;;0;;;;0;;;;
6;33;Del Giro;79703410-K;COMERCIAL RIHE SPA;299681;02/07/2026;02/07/2026 14:04:43;;0;251770;47836;;;299606;;;;;0;;;;0;;;;
7;33;Del Giro;79703410-K;COMERCIAL RIHE SPA;299686;02/07/2026;02/07/2026 14:16:19;;0;18674;3548;;;22222;;;;;0;;;;0;;;;
8;33;Del Giro;77460910-5;REPUESTOS AUTOMOTRICES VALPAR LTDA.;552096;02/07/2026;02/07/2026 14:54:28;;0;77600;14744;;;92344;;;;;0;;;;0;;;;
9;33;Del Giro;78924030-2;Implementos S.A.;6711841;02/07/2026;02/07/2026 14:58:40;;0;15109;2871;;;17980;;;;;0;;;;0;;;;
10;33;Del Giro;99581430-7;ADRIAZOLA REPUESTOS SPA;1150357;02/07/2026;02/07/2026 17:19:20;;0;66387;12614;;;79001;;;;;0;;;;0;;;;
